A1,아시아 기타
A2,동남아 기타
A3,중동 기타
AD,안도라
AE,아랍에미리트
AF,아프가니스탄
AG,안티구아 바부다
AL,알바니아
AM,아르메니아
AO,앙골라
AR,아르헨티나
AT,오스트리아
AU,호주
AZ,아제르바이젠
B1,유럽 기타
B2,동구권 기타
BA,보스니아
BB,바베이도스
BD,방글라데시
BE,벨기에
BF,부르키나파소
BG,불가리아
BH,바레인
BI,부룬디
BJ,베넹
BM,버뮤다
BN,브루나이
BO,볼리비아
BR,브라질
BS,바하마
BT,부탄
BW,보츠와나
BY,벨라루스
BZ,벨리즈
C1,중남미 기타
CA,캐나다
CF,중앙아프리카
CG,콩고
CH,스위스
CI,코트디브와르
CL,칠레
CM,카메룬
CN,중국
CO,콜롬비아
CR,코스타리카
CU,쿠바
CV,까뽀베르데
CY,사이프러스
CZ,체코
D1,대양주 기타
DE,독일
DJ,지부티
DK,덴마크
DM,도미니카
DO,도미니카공화국
DZ,알제리
E1,아프리카 기타
EC,에쿠아도르
EE,에스토니아
EG,이집트
ER,에리트리아
ES,스페인
ET,이디오피아
FI,핀랜드
FJ,피지
FM,마이크로네시아
FR,프랑스
GA,가봉
GB,영국
GD,그레나다
GE,그루지아
GH,가나
GI,지브롤터
GM,감비아
GN,기니
GQ,적도기네
GR,그리스
GT,과테말라
GU,괌
GW,기니비소
GY,가이아나
HK,홍콩
HN,온두라스
HR,크로아티아
HT,아이티
HU,헝가리
ID,인도네시아
IE,아일랜드
IL,이스라엘
IN,인도
IQ,이라크
IR,이란
IS,아이슬랜드
IT,이태리
JM,자메이카
JO,요르단
JP,일본
KE,케냐
KG,키르키즈스탄
KH,캄보디아
KI,키리바시
KM,코모로
KN,세인트키츠네비스
KP,북한
KR,한국
KW,쿠웨이트
KY,케이멘군도
KZ,카자흐스탄
LA,라오스
LB,레바논
LC,세인트루시아
LI,리히텐스타인
LK,스리랑카
LR,리베리아
LS,레소토
LT,리투아니아
LU,룩셈부르크
LV,라트비아
LY,리비아
MA,모로코
MC,모나코
MD,몰도바
MG,마다가스카르
MH,마샬군도
MK,마케도이나
ML,말리
MM,미얀마
MN,몽골
MO,마카오
MR,모리타니아
MT,몰타
MU,모리셔스
MV,몰디브
MW,말라위
MX,멕시코
MY,말레이지아
MZ,모잠비크
NA,나미비아
NC,뉴칼레도니아
NE,니제르
NG,나이지리아
NI,니카라과
NL,네덜란드
NO,노르웨이
NP,네팔
NR,나우루
NZ,뉴질랜드
OM,오만
PA,파나마
PE,페루
PG,파푸아뉴기니
PH,필리핀
PK,파키스탄
PL,폴란드
PR,푸에리토리코
PT,포르투갈
PW,팔라우
PY,파라과이
QA,카타르
RO,루마니아
RU,러시아
RW,르완다
SA,사우디아라비아
SB,솔로몬군도
SC,세이쉘
SD,수단
SE,스웨덴
SG,싱가포르
SI,슬로베니아
SK,슬로바키아
SL,시에라리온
SM,산마리노
SN,세네갈
SO,소말리아
SR,수리남
ST,생토메프린시페
SV,엘살바도르
SY,시리아
SZ,스와질랜드
TD,챠드
TG,토고
TH,타이
TJ,타지키스탄
TM,투르크메니스탄
TN,투니시아
TO,통가
TP,티모르
TR,터이키
TT,트리니다드
TV,투발루
TW,타이완
TZ,탄자니아
UA,우크라이나
UG,우간다
US,미국
UY,우루과이
UZ,우즈베키스탄
VA,바티칸
VC,세인트빈센트그레다닌
VE,베네수엘라
VG,버진 아일랜드
VN,베트남
VU,바누아투
WS,서사모아
YE,예멘
YU,유고
ZA,남아공화국
ZM,잠비아
ZR,자이레
ZW,짐바브웨
